id;name;surname;birthday;grade_level;classroom;adelphie;diet
1;value-added bifurcated;moderator synthesize Plastic;2022-01-04T04:32:28;Mouse;56258;19145;99692
2;Granite;TCP Guinée;2022-01-03T18:30:15;Handmade;54127;56345;789
3;Intelligent;EXE;2022-01-03T22:37:11;Proactive Rustic;56098;42811;59746
4;hacking;reinvent wireless lime;2022-01-04T13:23:24;vertical unleash Frozen;47944;10593;11315
5;Toys Borders;blue strategic;2022-01-04T07:43:52;a incentivize Cotton;18345;34243;64189
6;back-end schemas program;a Haute-Normandie;2022-01-04T04:33:18;b Bedfordshire;36909;77610;63311
7;intranet programming;Multi-lateral AGP;2022-01-04T02:17:30;copy calculating payment;42908;50842;12329
8;unleash Irlande;Liechtenstein;2022-01-03T19:22:07;B2C bluetooth;52037;57908;73189
9;defect;Designer;2022-01-04T08:20:58;Triple-buffered PCI Innovative;37748;2765;25770
10;Buckinghamshire c engage;Italie Sleek Analyste;2022-01-04T05:57:17;Thaïlande;28503;34727;83985
