id;refering_parent_name;refering_parent_surname;telephone_number;postal_adress
1;streamline;Steel;c b;Unbranded Operative
2;functionalities;c;Plastic;Euro
3;modular ivory generating;Irak;b firewall Baby;c SSL white
4;bypassing;c Books;b primary Franche-Comté;HTTP lavender functionalities
5;Charlemagne;Borders incentivize mission-critical;overriding Loire Lepic;asynchronous Analyste
6;a improvement Auvergne;system Outdoors channels;Universal benchmark non-volatile;withdrawal Sports stable
7;strategize challenge Practical;protocol;heuristic Consultant AI;Rubber Sports
8;des;visualize;la Fish;Manager Saint-Dominique
9;COM deposit metrics;Ingenieur back-end Picardie;generate;Generic Chips
10;methodology transmitter matrix;connecting lime;a Managed Sri;orchid
