id;name;surname;birthday;grade_level;classroom;adelphie;diet
1;value-added bifurcated;moderator synthesize Plastic;2022-01-04T03:37:32;Mouse;56258;19145;99692
2;Granite;TCP Guinée;2022-01-03T17:35:19;Handmade;54127;56345;789
3;Intelligent;EXE;2022-01-03T21:42:15;Proactive Rustic;56098;42811;59746
4;hacking;reinvent wireless lime;2022-01-04T12:28:28;vertical unleash Frozen;47944;10593;11315
5;Toys Borders;blue strategic;2022-01-04T06:48:56;a incentivize Cotton;18345;34243;64189
6;back-end schemas program;a Haute-Normandie;2022-01-04T03:38:22;b Bedfordshire;36909;77610;63311
7;intranet programming;Multi-lateral AGP;2022-01-04T01:22:34;copy calculating payment;42908;50842;12329
8;unleash Irlande;Liechtenstein;2022-01-03T18:27:11;B2C bluetooth;52037;57908;73189
9;defect;Designer;2022-01-04T07:26:02;Triple-buffered PCI Innovative;37748;2765;25770
10;Buckinghamshire c engage;Italie Sleek Analyste;2022-01-04T05:02:21;Thaïlande;28503;34727;83985
